"","x","y","Geothermal","Minerals","Chalcedony","Kaolinite","Gypsum","Temperature","Faults","Deformation"
"115",327854.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.601899087429047,-20.9755001068115
"116",327857.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.603819251060486,-20.8459320068359
"117",327860.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.605484962463379,-21.911506652832
"118",327863.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.606984317302704,-21.4703807830811
"119",327866.6,4406428.5,1,0.00452833669260144,0,0,0,NA,0.609244704246521,-20.9179382324219
"120",327869.6,4406428.5,0,0.00452833669260144,0,0,0,NA,0.611314952373505,-20.7419395446777
"121",327872.6,4406428.5,0,0.00452833669260144,0,0,0,NA,0.613207340240479,-20.4360408782959
"122",327875.6,4406428.5,0,0.00452833669260144,0,0,0,NA,0.614931702613831,-20.3096561431885
"123",327878.6,4406428.5,0,0.00452833669260144,0,0,0,NA,0.616496205329895,-20.1868877410889
"124",327881.6,4406428.5,0,0.00452833669260144,0,0,0,NA,0.6179079413414,-20.0681228637695
"125",327884.6,4406428.5,0,0.00452833669260144,0,0,0,NA,0.619172871112823,-18.8223762512207
"126",327887.6,4406428.5,0,0.00452833669260144,0,0,0,NA,0.620296001434326,-18.3517322540283
"127",327890.6,4406428.5,0,0.00452833669260144,0,0,0,NA,0.621281683444977,-17.1131820678711
"128",327893.6,4406428.5,0,0.00452833669260144,0,0,0,NA,0.622133493423462,-16.7772998809814
"129",327896.6,4406428.5,0,0.00155482045374811,0,0,0,NA,0.622854828834534,-16.2896270751953
"130",327899.6,4406428.5,0,0,0,0,0,NA,0.623448729515076,-16.347620010376
"131",327902.6,4406428.5,0,0,0,0,0,NA,0.642878353595734,-16.7077693939209
"132",327905.6,4406428.5,0,0,0,0,0,NA,0.654373943805695,-16.5113983154297
"133",327908.6,4406428.5,0,0,0,0,0,NA,0.662701666355133,-16.4448928833008
"134",327911.6,4406428.5,0,0,0,0,0,NA,0.669077694416046,-16.1549091339111
"135",327914.6,4406428.5,0,0,0,0,0,NA,0.674541592597961,-16.0589084625244
"136",327917.6,4406428.5,0,0,0,0,0,NA,0.679681003093719,-15.5807495117188
"137",327920.6,4406428.5,0,0,0,0,0,NA,0.684585630893707,-15.5244150161743
"138",327923.6,4406428.5,0,0,0,0,0,NA,0.689157962799072,-15.4965076446533
"139",327926.6,4406428.5,0,0,0,0,0,NA,0.693430483341217,-15.5368041992188
"140",327929.6,4406428.5,0,0,0,0,0,NA,0.697428345680237,-15.6831731796265
"141",327932.6,4406428.5,0,0,0,0,0,NA,0.701171517372131,-16.0916805267334
"142",327935.6,4406428.5,0,0,0,0,0.0944786369800568,NA,0.704676270484924,-16.7726154327393
"143",327938.6,4406428.5,0,0,0,0,0,8,0.707956075668335,-15.8701448440552
"144",327941.6,4406428.5,0,0,0,0,0,8,0.711022019386292,-15.5346918106079
"145",327944.6,4406428.5,0,0,0,0,0,8,0.713883459568024,-15.0848236083984
"146",327947.6,4406428.5,0,0,0,0,0,NA,0.716548323631287,-14.7868394851685
"147",327950.6,4406428.5,0,0,0,0,0,NA,0.71902334690094,-14.6980905532837
"148",327953.6,4406428.5,0,0,0,0,0,NA,0.721314072608948,-13.7449264526367
"149",327956.6,4406428.5,0,0,0,0,0,NA,0.723425269126892,-13.6860256195068
"150",327959.6,4406428.5,0,0,0,0,0,NA,0.725360155105591,-14.126669883728
"151",327962.6,4406428.5,0,0,0,0,0,NA,0.72711443901062,-14.9404258728027
"152",327965.6,4406428.5,0,0,0,0,0,NA,0.728698134422302,-14.8531122207642
"153",327968.6,4406428.5,0,0,0,0,0,NA,0.730112969875336,-14.7623271942139
"154",327971.6,4406428.5,0,0,0,0,0,NA,0.731533944606781,-14.72385597229
"155",327974.6,4406428.5,0,0,0,0,0,NA,0.732919812202454,-14.6291494369507
"156",327977.6,4406428.5,0,0,0,0,0,NA,0.733974456787109,-14.5094203948975
"157",327980.6,4406428.5,0,0,0,0,0,NA,0.734846472740173,-14.6046657562256
"158",327983.6,4406428.5,0,0,0,0,0,NA,0.735536098480225,-14.403247833252
"159",327986.6,4406428.5,0,0,0,0,0,NA,0.736042559146881,-13.8463068008423
"160",327989.6,4406428.5,0,0,0,0,0,NA,0.73636382818222,-13.2619409561157
"161",327992.6,4406428.5,0,0,0,0,0,NA,0.736496865749359,-12.9894380569458
"162",327995.6,4406428.5,0,0,0,0,0,NA,0.736436665058136,-13.7125272750854
"163",327998.6,4406428.5,0,0,0,0,0,NA,0.736176729202271,-15.5433378219604
"164",328001.6,4406428.5,0,0,0,0,0,NA,0.735707998275757,-17.9242744445801
"165",328004.6,4406428.5,0,0,0,0,0,NA,0.735021710395813,-20.9003047943115
"166",328007.6,4406428.5,0,0,0,0,0,NA,0.734174370765686,-19.9480476379395
"167",328010.6,4406428.5,0,0,0,0,0,NA,0.733063101768494,-21.1181297302246
"168",328013.6,4406428.5,0,0,0,0,0,NA,0.731657028198242,-19.0030708312988
"169",328016.6,4406428.5,0,0,0,0,0,NA,0.729910671710968,-18.1616153717041
"170",328019.6,4406428.5,0,0,0,0,0,NA,0.727753162384033,-17.5750865936279
"171",328022.6,4406428.5,0,0,0,0,0,NA,0.727997481822968,-17.3425407409668
"172",328025.6,4406428.5,0,0,0,0,0,NA,0.728561580181122,-16.6106052398682
"173",328028.6,4406428.5,0,0,0,0,0,NA,0.729014813899994,-15.628623008728
"174",327512.6,4406425.5,1,0.00292396871373057,0,0,0,NA,0.431961417198181,-40.652702331543
"175",327515.6,4406425.5,1,0.00292396871373057,0,0,0,NA,0.434630960226059,-40.7336807250977
